Encrypt Time (ms),Inbuf Time (ms),Ratio
0.015,0.057,3.8000000000000003
0.003,0.014,4.666666666666667
0.002,0.009,4.5
0.002,0.009,4.5
0.002,0.008,4.0
0.002,0.008,4.0
0.004,0.016,4.0
0.003,0.009,2.9999999999999996
0.034,0.087,2.5588235294117645
0.004,0.016,4.0
0.026,0.115,4.423076923076923
0.018,0.132,7.333333333333334
0.005,0.022,4.3999999999999995
0.012,0.049,4.083333333333333
0.012,0.06,5.0
0.007,0.053,7.571428571428571
0.011,0.05,4.545454545454546
0.025,0.095,3.8
0.003,0.014,4.666666666666667
0.011,0.057,5.1818181818181825
0.003,0.029,9.666666666666666
0.002,0.011,5.5
0.017,0.102,5.999999999999999
0.008,0.028,3.5
0.027,0.165,6.111111111111112
0.01,0.052,5.199999999999999
0.015,0.082,5.466666666666667
0.015,0.078,5.2
0.009,0.056,6.222222222222223
0.014,0.08,5.714285714285714
0.01,0.057,5.7
0.013,0.113,8.692307692307693
0.008,0.042,5.25
0.009,0.037,4.111111111111112
0.018,0.093,5.166666666666667
0.035,0.092,2.628571428571428
0.007,0.03,4.285714285714286
0.006,0.026,4.333333333333333
0.007,0.031,4.428571428571429
0.016,0.057,3.5625
0.032,0.168,5.25
0.022,0.049,2.2272727272727275
0.003,0.014,4.666666666666667
0.003,0.01,3.3333333333333335
0.002,0.008,4.0
0.034,0.011,0.32352941176470584
0.013,0.046,3.5384615384615388
0.002,0.01,5.0
0.007,0.031,4.428571428571429
0.012,0.047,3.9166666666666665
0.003,0.014,4.666666666666667
0.002,0.008,4.0
0.033,0.072,2.1818181818181817
0.007,0.035,5.0
0.005,0.021,4.2
0.03,0.085,2.8333333333333335
0.003,0.015,5.0
0.017,0.069,4.0588235294117645
0.003,0.014,4.666666666666667
0.013,0.105,8.076923076923077
0.004,0.02,5.0
0.018,0.106,5.888888888888889
0.006,0.032,5.333333333333333
0.028,0.114,4.071428571428571
0.034,0.091,2.676470588235294
0.017,0.106,6.235294117647058
0.006,0.026,4.333333333333333
0.003,0.016,5.333333333333333
0.014,0.105,7.5
0.009,0.068,7.555555555555556
0.004,0.02,5.0
0.022,0.089,4.045454545454546
0.033,0.134,4.0606060606060606
0.173,0.474,2.739884393063584
0.013,0.031,2.3846153846153846
0.022,0.07,3.181818181818182
0.006,0.027,4.5
0.002,0.014,7.0
0.023,0.084,3.6521739130434785
0.004,0.02,5.0
0.022,0.2,9.090909090909092
0.011,0.087,7.909090909090909
0.017,0.113,6.647058823529411
0.007,0.034,4.857142857142858
0.004,0.02,5.0
0.008,0.038,4.75
0.016,0.079,4.9375
0.004,0.021,5.25
0.018,0.055,3.055555555555556
0.022,0.112,5.090909090909092
0.029,0.074,2.5517241379310343
0.006,0.05,8.333333333333334
0.028,0.099,3.5357142857142856
0.022,0.064,2.909090909090909
0.005,0.023,4.6
0.003,0.012,4.0
0.006,0.032,5.333333333333333
0.004,0.038,9.5
0.003,0.017,5.666666666666667
0.003,0.019,6.333333333333333
0.002,0.016,8.0
0.01,0.046,4.6
0.002,0.012,6.0
0.005,0.023,4.6
0.003,0.016,5.333333333333333
0.002,0.013,6.5
0.032,0.134,4.1875
0.018,0.069,3.833333333333334
0.003,0.017,5.666666666666667
0.01,0.042,4.2
0.018,0.063,3.5000000000000004
0.001,0.009,9.0
0.016,0.054,3.375
0.001,0.009,9.0
0.02,0.063,3.15
0.016,0.067,4.1875
0.004,0.022,5.5
0.003,0.014,4.666666666666667
0.003,0.028,9.333333333333334
0.016,0.067,4.1875
0.003,0.014,4.666666666666667
0.001,0.008,8.0
0.016,0.064,4.0
0.002,0.009,4.5
0.015,0.056,3.7333333333333334
0.005,0.024,4.8
0.003,0.014,4.666666666666667
0.002,0.008,4.0
0.017,0.107,6.294117647058823
0.008,0.037,4.625
0.02,0.094,4.7
0.023,0.062,2.6956521739130435
0.005,0.024,4.8
0.003,0.011,3.6666666666666665
0.004,0.019,4.75
0.002,0.011,5.5
0.004,0.021,5.25
0.002,0.012,6.0
0.002,0.009,4.5
0.007,0.045,6.428571428571428
0.005,0.022,4.3999999999999995
0.002,0.011,5.5
0.023,0.06,2.608695652173913
0.017,0.059,3.4705882352941173
0.002,0.01,5.0
0.011,0.043,3.909090909090909
0.004,0.016,4.0
0.001,0.008,8.0
0.016,0.077,4.8125
0.016,0.063,3.9375
0.018,0.073,4.055555555555555
0.003,0.015,5.0
0.004,0.035,8.75
0.001,0.007,7.0
0.016,0.068,4.25
0.002,0.01,5.0
0.019,0.067,3.5263157894736845
0.006,0.025,4.166666666666667
0.003,0.016,5.333333333333333
0.016,0.057,3.5625
0.002,0.014,7.0
0.025,0.074,2.9599999999999995
0.023,0.08,3.4782608695652177
0.005,0.027,5.3999999999999995
0.002,0.012,6.0
0.015,0.068,4.533333333333334
0.011,0.069,6.272727272727273
0.004,0.018,4.5
0.028,0.188,6.714285714285714
0.007,0.035,5.0
0.027,0.12,4.444444444444445
